Post ID,Account Username,Type of Post,Date,Day of Week,Time of Day,Likes,Comments,Caption,Hashtags,Tagged Users,Is Video,View Count (if video),Engagement Score,Viewer Engagement Score
3416167398237405263,adidasfootball,GraphSidecar,2024-07-20,Saturday,07:01:50,345921,1591,"let the show begin ✨
welcome to the /// fam, Aitana.

que comience el espectáculo ✨
bienvenida a la /// fam, Aitana.",,"adidas, aitanabonmati, adidas_es",False,,347513.38,
3419126402220480132,adidas,GraphVideo,2024-07-24,Wednesday,09:07:41,17189,2485,Summer’s biggest stage is set #YouGotThis,#YouGotThis,"nojo18, fgustavoo, sasha.zhoya, sumeyyeboyacii",True,222296.0,19674.710000000003,8.85
3433865888938457061,adidas,GraphSidecar,2024-08-13,Tuesday,17:05:34,11857,159,"LA 2028 is four years away, but the pressure to qualify is already on.

Luckily, @merylandcgh knows exactly how to deal with it – make fun punch harder than pressure. 

#YouGotThis Meryland.",#YouGotThis,"adidasboxing, merylandcgh",False,,12015.91,
3435344265201531323,adidas,GraphVideo,2024-08-15,Thursday,18:05:47,8566,339,"Until next time… 
 
#Paris2024 #YouGotThis","#Paris2024, #YouGotThis","rebecarandrade, theanthonyedwards_, tomdaley, nojo18, antoinedupont9, annaa.hall, trinity_rodman, molly_caudery, kieranbmxreilly, jessfoxcanoe, akani_simbine, daryllneita, flaamingoo_, andreassirieix04, rosezhang, staceywaaka, dogg8bg, tylanathanwong, cadenluiscunningham",True,79774.0,8905.69,11.16
3446306439325384369,adidasterrex,GraphSidecar,2024-08-30,Friday,21:02:43,14275,130,"✅ OCC 2023 🥇 ✅ CCC 2024 🥇

Back to back wins for @tonimccann in Chamonix!

#TeamTERREX #YouGotThis","#TeamTERREX, #YouGotThis","adidas, adidasrunning, adidasza, tonimccann",False,,14406.95,
3447113610029172257,adidas,GraphSidecar,2024-08-31,Saturday,23:46:26,9901,55,"Gold in the air🥇 

It’s a Gold medal and a new World Record for @jumpingjoe_19 in the Men’s Long Jump T63 at the #Paris2024 Paralympics Games. 

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, jumpingjoe_19",False,,9956.44,
3446708222054923768,adidas,GraphSidecar,2024-08-31,Saturday,10:21:00,18577,74,Only the best for our athletes ⭐️,,"ohsu.o_o, _klc215, mattiaafurlanii, yemimagdalena, shishoouuuu, thealafond, tami_tola",False,,18651.98,
3447420260334257261,adidasuk,GraphImage,2024-09-01,Sunday,09:55:41,5461,29,"Leader of the pack. It's 🥇 for @benjaminpritch1.

#YouGotThis #Paris2024","#YouGotThis, #Paris2024",adidas,False,,5491.92,
3447443041344055740,adidasuk,GraphSidecar,2024-09-01,Sunday,10:40:57,8019,42,"Rio ✅ Tokyo ✅ Paris ✅

Another gold in the bag for @itslaurenrowles 

#YouGotThis #Paris2024","#YouGotThis, #Paris2024","adidas, paralympicsgb_official, itslaurenrowles",False,,8060.420000000001,
3448214004487577805,adidas,GraphSidecar,2024-09-02,Monday,12:12:43,14049,53,"Triple Amenaza🔥 

@susirodriguezgacio wins 🥇 in the Women’s Triathlon VI at the #Paris2024 Paralympics 🙌 

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, adidas_es, susirodriguezgacio",False,,14103.4,
3448423551324569657,adidasindia,GraphSidecar,2024-09-02,Monday,19:09:03,23192,112,"Gold standard. 
Defending his🥇in Tokyo, @antil_sumit7698 is the Paralympic Champion at #Paris2024 in the Javelin F64, with a new Paralympic record! #YouGotThis","#Paris2024, #YouGotThis","adidas, adidasrunning, antil_sumit7698",False,,23303.3,
3448818838167282425,adidasparis,GraphSidecar,2024-09-03,Tuesday,08:14:25,11336,53,Voilà ✨. It was adidas GROUNDPARIS.,,"adidas, ninhosdt, niska_officiel, malikbentalha, earvinngapeth, bboysamuka",False,,11390.13,
3449135102410538293,adidas,GraphImage,2024-09-03,Tuesday,18:42:46,8972,31,"Gold is her gear🥇@kimberly_alkemade has just smashed the Paralympic record in the Women’s T64 200m to win Gold at #Paris2024 🔥

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, kimberly_alkemade",False,,9003.76,
3450538849321765202,adidas,GraphImage,2024-09-05,Thursday,17:11:46,23525,123,"Lightening strikes again ⚡️🇬🇷 @ghavelas_a100 wins Gold in the Men’s 100m T11 at the #Paris2024 at the Paralympics 🔥🥇

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, ghavelas_a100",False,,23648.88,
3450542215185612764,adidasberlin,GraphSidecar,2024-09-05,Thursday,17:18:27,9241,30,"Only gold could have made the 1:01.84 even more special 🥇

@taliso_engel did not only win the 100m breast stroke, he also set a new WR today at the #Paris2024 Paralympics 🤝 #YouGotThis","#Paris2024, #YouGotThis","adidas, taliso_engel",False,,9269.95,
3450579774491162015,adidasrunning,GraphImage,2024-09-05,Thursday,18:33:05,45226,706,"Rebecca Cheptegei 🕊️

Today we tragically lost an Olympian marathon runner, a national record holder, a worldwide respected athlete and the pride of Uganda. 

We are deeply saddened by the devastating news about Rebecca. We have zero tolerance for hate and violence against women.",,adidas,False,,45934.12,
3451046736682051471,adidasuk,GraphImage,2024-09-06,Friday,10:00:51,6681,31,"History maker. Another gold for the most decorated @paralympicsgb_official athlete ever.

#YouGotThis #Paris2024","#YouGotThis, #Paris2024","adidas, paralympicsgb_official",False,,6710.79,
3452050786383705199,adidas,GraphSidecar,2024-09-07,Saturday,19:15:43,11363,67,"Champions Only. 🙌 @ksholloway wins Gold at the #Paris2024 Paralympics in the Women’s Sitting Volleyball 🏐🔥🥇

#YouGotThis","#Paris2024, #YouGotThis","adidasvolleyball, ksholloway",False,,11432.16,
3454153570792664328,adidasgolf,GraphVideo,2024-09-10,Tuesday,17:06:28,7992,72,"Before they face off this week, @rosezhang and @linngrant tested each other in a different  golf challenge that covered multiple sports in the US and Europe with only a golf ball.
 
They’ll take on 🏀, 🏈, ⚽️, 🏏 and more using every shot in their bag to bring this one home. 

Watch the full video on YouTube, hosted by @miaellax. Link in bio and on stories.
 
Who you got?⬇️",,"adidas, miaellax, rosezhang, linngrant",True,108701.0,8065.09,7.42
3457856364104818607,adidasgolf,GraphImage,2024-09-15,Sunday,19:30:22,5269,34,"For The Cup 🏆
Rose Zhang becomes just the 4th American to go 4-0 at the Solheim Cup. 

Congratulations @rosezhang and Team USA 🇺🇸",,"adidas, rosezhang",False,,5305.12,
